speaker_ID,speaker_gender,non_likable,secure,attractive,unsympathetic,indecisive,unobtrusive,distant,bored,emotional,not_irritated,active,pleasant,characterless,sociable,relaxed,affectionate,dominant,unaffected,hearty,old,personal,calm,incompetent,ugly,friendly,masculine,submissive,indifferent,interesting,cynical,artificial,intelligent,childish,modest
162,female,51.388888888888886,48.666666666666664,44.166666666666664,51.94444444444444,49.05555555555556,43.666666666666664,55.77777777777778,45.0,58.666666666666664,51.44444444444444,57.05555555555556,47.888888888888886,49.666666666666664,41.05555555555556,57.111111111111114,49.55555555555556,52.05555555555556,50.05555555555556,43.333333333333336,39.666666666666664,39.44444444444444,62.388888888888886,44.666666666666664,45.5,50.22222222222222,24.666666666666668,62.833333333333336,46.388888888888886,43.94444444444444,43.166666666666664,53.55555555555556,46.77777777777778,45.833333333333336,46.94444444444444
163,female,36.285714285714285,50.57142857142857,52.0,31.571428571428573,42.357142857142854,61.92857142857143,41.07142857142857,40.785714285714285,54.07142857142857,67.35714285714286,54.285714285714285,56.785714285714285,38.642857142857146,56.857142857142854,59.857142857142854,59.142857142857146,45.42857142857143,61.714285714285715,67.23076923076923,47.214285714285715,42.214285714285715,62.714285714285715,41.92857142857143,43.142857142857146,70.78571428571429,10.428571428571429,50.857142857142854,40.857142857142854,51.92857142857143,41.785714285714285,36.5,63.0,29.428571428571427,61.42857142857143
164,male,38.4,65.86666666666666,57.86666666666667,38.93333333333333,36.2,63.0,42.666666666666664,40.53333333333333,56.13333333333333,69.66666666666667,51.4,62.13333333333333,42.8,56.53333333333333,64.0,62.86666666666667,52.733333333333334,60.2,60.86666666666667,32.13333333333333,35.2,66.93333333333334,37.8,40.06666666666667,68.0,77.33333333333333,59.0,38.86666666666667,52.266666666666666,44.86666666666667,39.86666666666667,57.93333333333333,40.8,60.53333333333333
165,male,36.8,71.06666666666666,58.13333333333333,34.13333333333333,33.733333333333334,71.06666666666666,40.333333333333336,39.0,55.4,75.73333333333333,67.93333333333334,77.2,29.733333333333334,57.8,79.13333333333334,61.333333333333336,59.733333333333334,66.6,71.2,73.0,26.533333333333335,79.06666666666666,34.8,34.266666666666666,82.46666666666667,82.6,58.93333333333333,40.8,62.2,40.4,36.86666666666667,62.93333333333333,17.333333333333332,60.13333333333333
166,male,47.333333333333336,49.93333333333333,45.13333333333333,42.86666666666667,45.13333333333333,64.2,50.13333333333333,53.8,44.266666666666666,59.266666666666666,47.8,61.46666666666667,50.46666666666667,44.6,63.06666666666667,49.06666666666667,43.4,68.0,50.6,53.8,28.4,59.0,43.6,48.93333333333333,56.53333333333333,74.8,63.2,54.4,42.733333333333334,41.6,40.86666666666667,58.13333333333333,42.2,60.53333333333333
167,female,48.875,53.125,58.6875,41.375,38.375,62.9375,55.8125,55.8125,32.3125,61.5625,48.125,57.125,54.0,42.4375,63.3125,38.9375,53.5625,61.0625,42.4375,38.5,28.625,77.375,42.375,37.625,62.375,12.5,55.25,56.0,44.75,40.0,43.375,57.75,40.9375,62.5625
168,female,67.6875,38.75,29.75,52.1875,49.125,63.0625,64.375,63.375,33.0,50.6875,32.8125,42.8125,67.0,29.1875,50.0,38.4375,36.9375,60.0625,37.46666666666667,46.5625,44.4375,63.8125,56.4375,59.9375,49.4375,32.6875,63.6875,64.5,30.125,26.875,39.75,43.5,36.6875,63.875
169,female,48.5,68.35714285714286,35.714285714285715,46.0,32.857142857142854,45.5,64.78571428571429,48.357142857142854,29.285714285714285,44.92857142857143,56.42857142857143,47.857142857142854,45.42857142857143,39.5,56.5,31.357142857142858,73.5,54.07142857142857,30.571428571428573,41.0,22.428571428571427,60.785714285714285,41.357142857142854,49.285714285714285,47.285714285714285,13.642857142857142,41.214285714285715,49.92857142857143,43.42857142857143,48.285714285714285,44.92857142857143,61.285714285714285,24.0,46.07142857142857
170,female,44.285714285714285,63.07142857142857,45.92857142857143,40.92857142857143,39.785714285714285,52.285714285714285,53.92857142857143,49.142857142857146,45.5,45.57142857142857,60.07142857142857,51.0,41.214285714285715,46.07142857142857,54.07142857142857,43.5,55.642857142857146,49.142857142857146,45.785714285714285,41.5,30.5,65.71428571428571,37.642857142857146,46.642857142857146,53.714285714285715,20.0,46.0,52.214285714285715,43.857142857142854,54.285714285714285,43.0,56.42857142857143,41.07142857142857,50.357142857142854
171,male,63.5,50.0,29.5,64.5,47.785714285714285,62.642857142857146,70.21428571428571,81.42857142857143,23.928571428571427,41.714285714285715,30.214285714285715,38.92857142857143,63.214285714285715,26.714285714285715,64.21428571428571,28.285714285714285,44.57142857142857,73.64285714285714,30.642857142857142,84.14285714285714,43.857142857142854,77.07142857142857,61.142857142857146,54.57142857142857,45.92857142857143,85.42857142857143,53.357142857142854,75.78571428571429,26.571428571428573,42.0,28.642857142857142,39.92857142857143,16.0,63.0
172,female,49.6,58.4,47.333333333333336,46.6,46.8,60.6,50.8,62.2,44.4,50.733333333333334,45.0,52.8,55.53333333333333,47.0,58.666666666666664,46.266666666666666,46.733333333333334,56.2,53.142857142857146,32.6,45.93333333333333,73.0,52.2,43.13333333333333,59.93333333333333,14.2,50.53333333333333,58.266666666666666,44.53333333333333,44.06666666666667,37.333333333333336,47.266666666666666,47.8,51.06666666666667
173,male,36.06666666666667,71.26666666666667,65.8,36.13333333333333,28.666666666666668,67.2,42.266666666666666,37.46666666666667,57.8,62.8,65.46666666666667,66.2,38.4,54.266666666666666,73.8,53.6,66.86666666666666,56.333333333333336,57.5,70.26666666666667,40.4,63.666666666666664,30.266666666666666,31.333333333333332,67.66666666666667,87.8,57.733333333333334,48.733333333333334,63.2,48.2,31.333333333333332,67.93333333333334,15.4,60.266666666666666
174,female,68.125,53.375,26.8125,48.875,42.8125,68.6875,72.5,67.375,27.625,32.9375,28.4375,39.5,66.25,37.625,64.4375,24.0,54.0625,62.0,28.066666666666666,81.125,28.875,73.75,57.0,72.6875,42.125,23.8125,56.125,70.3125,25.75,44.4375,44.4375,38.0625,12.25,69.5625
